Transaction ID,Transaction Date,Transaction Time,Store #,Store Name,Store City,Store State,Region,Register #,Cashier ID,Customer ID,Customer Age Group,Loyalty Member?,Loyalty Tier,Sales Channel,Order Source,SKU,Style #,Product Name,Department,Category,Sub-Category,Brand,Gender / Fit,Size,Color,Material,Season,Collection,Quantity,List Price ($),Unit Selling Price ($),Markdown %,Promotion Code,Gross Sales ($),Discount Amount ($),Net Sales ($),COGS ($),Gross Profit ($),Gross Margin %,Tax Rate %,Sales Tax ($),Shipping Fee ($),Total Collected ($),Payment Method,Return Flag,Return Amount ($),Inventory Location,Stock On Hand After Sale,Receipt Notes
TXN-GRC-100011,2024-01-11,07:53:00,101,Fresh Market,Rochester,NY,North-East,REG-05,EMP-500,CUST-203027,55-64,Yes,Bronze,BOPIS,POS,SKU-FOOD-5096,DP-10,Gallon Whole Milk,Dairy,Milk & Cream,Whole Milk,DairyPure,N/A,N/A,N/A,Fresh/Packaged,Year-Round,Pantry Essentials,5,4.50,3.60,20.00,SAVE10,18.00,4.50,18.00,10.50,7.50,41.67,4.00,0.72,0.00,18.72,Visa,No,0.00,Aisle 8,34,
TXN-GRC-100012,2024-03-23,09:32:00,102,Fresh Market,Buffalo,NY,North-East,REG-07,EMP-537,CUST-272277,25-34,No,None,Online,Android App,SKU-FOOD-6393,AO-22,Fresh Sourdough Loaf,Bakery,Bread,Sourdough,Artisan Oven,N/A,N/A,N/A,Fresh/Packaged,Year-Round,Pantry Essentials,3,5.49,5.49,0.00,N/A,16.47,0.00,16.47,5.40,11.07,67.21,4.00,0.66,0.00,17.13,Cash,No,0.00,Aisle 18,141,
TXN-GRC-100013,2024-10-13,07:19:00,103,Fresh Market,Syracuse,NY,North-East,REG-03,EMP-503,CUST-250588,65+,No,None,In-Store,POS,SKU-FOOD-4651,CS-09,Vanilla Bean Pint,Frozen,Ice Cream,Pints,ColdScoop,N/A,N/A,N/A,Fresh/Packaged,Year-Round,Pantry Essentials,4,6.25,6.25,0.00,N/A,25.00,0.00,25.00,12.00,13.00,52.00,4.00,1.00,0.00,26.00,Mastercard,No,0.00,Aisle 19,76,
TXN-GRC-100014,2024-09-01,21:04:00,103,Fresh Market,Syracuse,NY,North-East,REG-06,EMP-539,CUST-262594,45-54,Yes,Silver,Curbside,iOS App,SKU-FOOD-9204,AO-22,Fresh Sourdough Loaf,Bakery,Bread,Sourdough,Artisan Oven,N/A,N/A,N/A,Fresh/Packaged,Year-Round,Pantry Essentials,1,5.49,5.49,0.00,N/A,5.49,0.00,5.49,1.80,3.69,67.21,4.00,0.22,0.00,5.71,Visa,No,0.00,Aisle 7,69,
TXN-GRC-100015,2025-06-24,15:34:00,103,Fresh Market,Syracuse,NY,North-East,REG-05,EMP-524,CUST-208319,45-54,No,None,In-Store,Website,SKU-FOOD-2587,CS-09,Vanilla Bean Pint,Frozen,Ice Cream,Pints,ColdScoop,N/A,N/A,N/A,Fresh/Packaged,Year-Round,Pantry Essentials,2,6.25,6.25,0.00,N/A,12.50,0.00,12.50,6.00,6.50,52.00,4.00,0.50,0.00,13.00,Mastercard,No,0.00,Aisle 14,65,
TXN-GRC-100016,2025-06-10,09:45:00,103,Fresh Market,Syracuse,NY,North-East,REG-08,EMP-502,CUST-283862,45-54,Yes,Bronze,BOPIS,Website,SKU-FOOD-9891,BI-14,Penne Rigate 16oz,Pantry,Pasta,Dry Pasta,BellaItalia,N/A,N/A,N/A,Fresh/Packaged,Year-Round,Pantry Essentials,3,1.89,1.89,0.00,N/A,5.67,0.00,5.67,1.80,3.87,68.25,4.00,0.23,0.00,5.90,Visa,No,0.00,Aisle 12,177,
TXN-GRC-100017,2024-10-28,00:01:00,101,Fresh Market,Rochester,NY,North-East,REG-08,EMP-505,CUST-228442,55-64,Yes,Gold,BOPIS,iOS App,SKU-FOOD-2979,BI-14,Penne Rigate 16oz,Pantry,Pasta,Dry Pasta,BellaItalia,N/A,N/A,N/A,Fresh/Packaged,Year-Round,Pantry Essentials,3,1.89,1.51,20.00,SAVE10,4.53,1.14,4.53,1.80,2.73,60.26,4.00,0.18,0.00,4.71,Visa,No,0.00,Aisle 12,15,
TXN-GRC-100018,2024-03-11,20:45:00,101,Fresh Market,Rochester,NY,North-East,REG-03,EMP-521,CUST-281700,65+,No,None,BOPIS,POS,SKU-FOOD-8695,BI-14,Penne Rigate 16oz,Pantry,Pasta,Dry Pasta,BellaItalia,N/A,N/A,N/A,Fresh/Packaged,Year-Round,Pantry Essentials,4,1.89,1.89,0.00,N/A,7.56,0.00,7.56,2.40,5.16,68.25,4.00,0.30,0.00,7.86,Apple Pay,No,0.00,Aisle 19,192,
TXN-GRC-100019,2024-05-25,00:57:00,103,Fresh Market,Syracuse,NY,North-East,REG-04,EMP-517,CUST-265853,25-34,Yes,Gold,In-Store,Website,SKU-FOOD-5861,AO-22,Fresh Sourdough Loaf,Bakery,Bread,Sourdough,Artisan Oven,N/A,N/A,N/A,Fresh/Packaged,Year-Round,Pantry Essentials,1,5.49,4.94,10.00,SAVE10,4.94,0.55,4.94,1.80,3.14,63.56,4.00,0.20,0.00,5.14,Visa,No,0.00,Aisle 16,14,
TXN-GRC-100020,2025-11-25,09:58:00,101,Fresh Market,Rochester,NY,North-East,REG-01,EMP-547,CUST-234928,35-44,No,None,BOPIS,Android App,SKU-FOOD-9522,LF-02,Honeycrisp Apples (lb),Produce,Fruit,Apples,Local Farms,N/A,N/A,N/A,Fresh/Packaged,Year-Round,Pantry Essentials,1,2.49,1.99,20.00,SAVE10,1.99,0.50,1.99,0.90,1.09,54.77,4.00,0.08,0.00,2.07,Cash,No,0.00,Aisle 10,10,
TXN-GRC-100021,2025-01-15,01:44:00,103,Fresh Market,Syracuse,NY,North-East,REG-07,EMP-524,CUST-214472,55-64,No,None,Online,POS,SKU-FOOD-3832,AO-22,Fresh Sourdough Loaf,Bakery,Bread,Sourdough,Artisan Oven,N/A,N/A,N/A,Fresh/Packaged,Year-Round,Pantry Essentials,5,5.49,5.49,0.00,N/A,27.45,0.00,27.45,9.00,18.45,67.21,4.00,1.10,0.00,28.55,EBT,No,0.00,Aisle 9,88,
TXN-GRC-100022,2025-03-19,15:05:00,103,Fresh Market,Syracuse,NY,North-East,REG-03,EMP-525,CUST-291188,65+,No,None,BOPIS,Android App,SKU-FOOD-6577,BI-14,Penne Rigate 16oz,Pantry,Pasta,Dry Pasta,BellaItalia,N/A,N/A,N/A,Fresh/Packaged,Year-Round,Pantry Essentials,4,1.89,1.89,0.00,N/A,7.56,0.00,7.56,2.40,5.16,68.25,4.00,0.30,0.00,7.86,Apple Pay,No,0.00,Aisle 17,155,
TXN-GRC-100023,2024-12-19,23:55:00,102,Fresh Market,Buffalo,NY,North-East,REG-05,EMP-515,CUST-268202,35-44,Yes,Platinum,Curbside,Android App,SKU-FOOD-1035,LF-02,Honeycrisp Apples (lb),Produce,Fruit,Apples,Local Farms,N/A,N/A,N/A,Fresh/Packaged,Year-Round,Pantry Essentials,2,2.49,1.99,20.00,SAVE10,3.98,1.00,3.98,1.80,2.18,54.77,4.00,0.16,0.00,4.14,Visa,No,0.00,Aisle 11,53,
TXN-GRC-100024,2025-01-01,03:03:00,103,Fresh Market,Syracuse,NY,North-East,REG-05,EMP-526,CUST-221193,25-34,Yes,None,Curbside,POS,SKU-FOOD-5701,DP-10,Gallon Whole Milk,Dairy,Milk & Cream,Whole Milk,DairyPure,N/A,N/A,N/A,Fresh/Packaged,Year-Round,Pantry Essentials,1,4.50,4.50,0.00,N/A,4.50,0.00,4.50,2.10,2.40,53.33,4.00,0.18,0.00,4.68,AmEx,No,0.00,Aisle 20,130,
TXN-GRC-100025,2025-05-26,03:37:00,103,Fresh Market,Syracuse,NY,North-East,REG-06,EMP-519,CUST-242651,55-64,No,None,BOPIS,Website,SKU-FOOD-8335,BI-14,Penne Rigate 16oz,Pantry,Pasta,Dry Pasta,BellaItalia,N/A,N/A,N/A,Fresh/Packaged,Year-Round,Pantry Essentials,4,1.89,1.89,0.00,N/A,7.56,0.00,7.56,2.40,5.16,68.25,4.00,0.30,5.99,13.85,Visa,No,0.00,Aisle 12,27,
TXN-GRC-100026,2024-10-07,01:08:00,102,Fresh Market,Buffalo,NY,North-East,REG-07,EMP-511,CUST-261680,25-34,Yes,Platinum,BOPIS,iOS App,SKU-FOOD-3367,AO-22,Fresh Sourdough Loaf,Bakery,Bread,Sourdough,Artisan Oven,N/A,N/A,N/A,Fresh/Packaged,Year-Round,Pantry Essentials,1,5.49,5.49,0.00,N/A,5.49,0.00,5.49,1.80,3.69,67.21,4.00,0.22,0.00,5.71,Cash,No,0.00,Aisle 19,121,
TXN-GRC-100027,2024-08-25,03:13:00,102,Fresh Market,Buffalo,NY,North-East,REG-02,EMP-548,CUST-276232,65+,No,None,Curbside,iOS App,SKU-FOOD-7666,BI-14,Penne Rigate 16oz,Pantry,Pasta,Dry Pasta,BellaItalia,N/A,N/A,N/A,Fresh/Packaged,Year-Round,Pantry Essentials,1,1.89,1.70,10.00,SAVE10,1.70,0.19,1.70,0.60,1.10,64.71,4.00,0.07,0.00,1.77,EBT,No,0.00,Aisle 3,58,
TXN-GRC-100028,2024-09-20,02:01:00,101,Fresh Market,Rochester,NY,North-East,REG-01,EMP-531,CUST-225583,55-64,Yes,Platinum,Online,Website,SKU-FOOD-2508,DP-10,Gallon Whole Milk,Dairy,Milk & Cream,Whole Milk,DairyPure,N/A,N/A,N/A,Fresh/Packaged,Year-Round,Pantry Essentials,2,4.50,3.60,20.00,SAVE10,7.20,1.80,7.20,4.20,3.00,41.67,4.00,0.29,0.00,7.49,AmEx,No,0.00,Aisle 11,65,
TXN-GRC-100029,2024-06-24,13:17:00,102,Fresh Market,Buffalo,NY,North-East,REG-01,EMP-505,CUST-208643,65+,No,None,Online,Website,SKU-FOOD-1221,CS-09,Vanilla Bean Pint,Frozen,Ice Cream,Pints,ColdScoop,N/A,N/A,N/A,Fresh/Packaged,Year-Round,Pantry Essentials,3,6.25,5.62,10.00,SAVE10,16.86,1.89,16.86,9.00,7.86,46.62,4.00,0.67,0.00,17.53,Visa,No,0.00,Aisle 3,145,
TXN-GRC-100030,2024-03-28,16:21:00,102,Fresh Market,Buffalo,NY,North-East,REG-06,EMP-517,CUST-275192,55-64,No,None,Online,Website,SKU-FOOD-9196,AO-22,Fresh Sourdough Loaf,Bakery,Bread,Sourdough,Artisan Oven,N/A,N/A,N/A,Fresh/Packaged,Year-Round,Pantry Essentials,2,5.49,4.39,20.00,SAVE10,8.78,2.20,8.78,3.60,5.18,59.00,4.00,0.35,0.00,9.13,EBT,No,0.00,Aisle 15,32,
TXN-GRC-100031,2024-09-24,22:16:00,101,Fresh Market,Rochester,NY,North-East,REG-03,EMP-544,CUST-238704,18-24,Yes,Silver,Curbside,Android App,SKU-FOOD-2292,BI-14,Penne Rigate 16oz,Pantry,Pasta,Dry Pasta,BellaItalia,N/A,N/A,N/A,Fresh/Packaged,Year-Round,Pantry Essentials,1,1.89,1.70,10.00,SAVE10,1.70,0.19,1.70,0.60,1.10,64.71,4.00,0.07,0.00,1.77,Apple Pay,No,0.00,Aisle 1,84,
TXN-GRC-100032,2024-08-30,03:53:00,103,Fresh Market,Syracuse,NY,North-East,REG-04,EMP-535,CUST-226496,18-24,No,None,BOPIS,POS,SKU-FOOD-5882,GL-01,Organic Spinach,Produce,Vegetables,Leafy Greens,GreenLeaf,N/A,N/A,N/A,Fresh/Packaged,Year-Round,Pantry Essentials,2,3.99,3.99,0.00,N/A,7.98,0.00,7.98,2.40,5.58,69.92,4.00,0.32,0.00,8.30,Apple Pay,No,0.00,Aisle 5,128,
TXN-GRC-100033,2024-10-29,10:22:00,102,Fresh Market,Buffalo,NY,North-East,REG-03,EMP-536,CUST-227697,18-24,Yes,Gold,Curbside,Website,SKU-FOOD-4587,AO-22,Fresh Sourdough Loaf,Bakery,Bread,Sourdough,Artisan Oven,N/A,N/A,N/A,Fresh/Packaged,Year-Round,Pantry Essentials,2,5.49,5.49,0.00,N/A,10.98,0.00,10.98,3.60,7.38,67.21,4.00,0.44,0.00,11.42,EBT,No,0.00,Aisle 1,143,
TXN-GRC-100034,2025-02-01,20:05:00,102,Fresh Market,Buffalo,NY,North-East,REG-01,EMP-505,CUST-204499,35-44,No,None,In-Store,POS,SKU-FOOD-9544,LF-02,Honeycrisp Apples (lb),Produce,Fruit,Apples,Local Farms,N/A,N/A,N/A,Fresh/Packaged,Year-Round,Pantry Essentials,1,2.49,2.49,0.00,N/A,2.49,0.00,2.49,0.90,1.59,63.86,4.00,0.10,5.99,8.58,AmEx,No,0.00,Aisle 9,200,
TXN-GRC-100035,2024-11-19,08:09:00,101,Fresh Market,Rochester,NY,North-East,REG-02,EMP-503,CUST-236291,55-64,Yes,Gold,Online,Android App,SKU-FOOD-2164,DP-10,Gallon Whole Milk,Dairy,Milk & Cream,Whole Milk,DairyPure,N/A,N/A,N/A,Fresh/Packaged,Year-Round,Pantry Essentials,4,4.50,4.05,10.00,SAVE10,16.20,1.80,16.20,8.40,7.80,48.15,4.00,0.65,0.00,16.85,AmEx,No,0.00,Aisle 18,15,
TXN-GRC-100036,2024-09-19,08:36:00,101,Fresh Market,Rochester,NY,North-East,REG-05,EMP-523,CUST-293387,25-34,Yes,Platinum,BOPIS,iOS App,SKU-FOOD-1137,BI-14,Penne Rigate 16oz,Pantry,Pasta,Dry Pasta,BellaItalia,N/A,N/A,N/A,Fresh/Packaged,Year-Round,Pantry Essentials,3,1.89,1.51,20.00,SAVE10,4.53,1.14,4.53,1.80,2.73,60.26,4.00,0.18,0.00,4.71,EBT,No,0.00,Aisle 9,94,
TXN-GRC-100037,2024-05-05,17:04:00,102,Fresh Market,Buffalo,NY,North-East,REG-06,EMP-510,CUST-230610,65+,No,None,Curbside,iOS App,SKU-FOOD-7115,FZ-01,12-Pack Cola,Beverages,Soda,Cola,FizzCo,N/A,N/A,N/A,Fresh/Packaged,Year-Round,Pantry Essentials,4,7.99,7.99,0.00,N/A,31.96,0.00,31.96,16.00,15.96,49.94,4.00,1.28,0.00,33.24,AmEx,No,0.00,Aisle 3,91,
TXN-GRC-100038,2024-11-21,20:50:00,101,Fresh Market,Rochester,NY,North-East,REG-06,EMP-537,CUST-221440,18-24,Yes,None,Online,Website,SKU-FOOD-2541,LF-02,Honeycrisp Apples (lb),Produce,Fruit,Apples,Local Farms,N/A,N/A,N/A,Fresh/Packaged,Year-Round,Pantry Essentials,5,2.49,2.49,0.00,N/A,12.45,0.00,12.45,4.50,7.95,63.86,4.00,0.50,0.00,12.95,EBT,No,0.00,Aisle 1,108,
TXN-GRC-100039,2024-10-31,14:41:00,102,Fresh Market,Buffalo,NY,North-East,REG-06,EMP-544,CUST-279613,55-64,Yes,Silver,BOPIS,Android App,SKU-FOOD-8993,FZ-01,12-Pack Cola,Beverages,Soda,Cola,FizzCo,N/A,N/A,N/A,Fresh/Packaged,Year-Round,Pantry Essentials,1,7.99,7.99,0.00,N/A,7.99,0.00,7.99,4.00,3.99,49.94,4.00,0.32,0.00,8.31,Cash,No,0.00,Aisle 9,162,
TXN-GRC-100040,2025-10-20,09:28:00,101,Fresh Market,Rochester,NY,North-East,REG-01,EMP-504,CUST-225850,45-54,No,None,In-Store,Website,SKU-FOOD-6501,LF-02,Honeycrisp Apples (lb),Produce,Fruit,Apples,Local Farms,N/A,N/A,N/A,Fresh/Packaged,Year-Round,Pantry Essentials,1,2.49,1.99,20.00,SAVE10,1.99,0.50,1.99,0.90,1.09,54.77,4.00,0.08,5.99,8.06,EBT,No,0.00,Aisle 6,170,
TXN-GRC-100041,2025-01-26,14:36:00,101,Fresh Market,Rochester,NY,North-East,REG-02,EMP-503,CUST-233193,65+,Yes,Gold,BOPIS,iOS App,SKU-FOOD-8923,BI-14,Penne Rigate 16oz,Pantry,Pasta,Dry Pasta,BellaItalia,N/A,N/A,N/A,Fresh/Packaged,Year-Round,Pantry Essentials,1,1.89,1.89,0.00,N/A,1.89,0.00,1.89,0.60,1.29,68.25,4.00,0.08,0.00,1.97,AmEx,No,0.00,Aisle 10,37,
TXN-GRC-100042,2024-08-29,19:06:00,102,Fresh Market,Buffalo,NY,North-East,REG-07,EMP-524,CUST-242532,65+,No,None,In-Store,POS,SKU-FOOD-4809,DP-10,Gallon Whole Milk,Dairy,Milk & Cream,Whole Milk,DairyPure,N/A,N/A,N/A,Fresh/Packaged,Year-Round,Pantry Essentials,1,4.50,4.05,10.00,SAVE10,4.05,0.45,4.05,2.10,1.95,48.15,4.00,0.16,0.00,4.21,Mastercard,No,0.00,Aisle 18,174,
TXN-GRC-100043,2025-04-15,05:41:00,102,Fresh Market,Buffalo,NY,North-East,REG-01,EMP-501,CUST-277157,65+,No,None,Online,iOS App,SKU-FOOD-6196,LF-02,Honeycrisp Apples (lb),Produce,Fruit,Apples,Local Farms,N/A,N/A,N/A,Fresh/Packaged,Year-Round,Pantry Essentials,4,2.49,1.99,20.00,SAVE10,7.96,2.00,7.96,3.60,4.36,54.77,4.00,0.32,0.00,8.28,Apple Pay,No,0.00,Aisle 10,143,
TXN-GRC-100044,2025-07-28,20:08:00,101,Fresh Market,Rochester,NY,North-East,REG-04,EMP-549,CUST-239100,25-34,Yes,Silver,Curbside,Website,SKU-FOOD-7459,AO-22,Fresh Sourdough Loaf,Bakery,Bread,Sourdough,Artisan Oven,N/A,N/A,N/A,Fresh/Packaged,Year-Round,Pantry Essentials,1,5.49,4.94,10.00,SAVE10,4.94,0.55,4.94,1.80,3.14,63.56,4.00,0.20,0.00,5.14,Mastercard,No,0.00,Aisle 14,76,
TXN-GRC-100045,2025-05-10,05:35:00,101,Fresh Market,Rochester,NY,North-East,REG-08,EMP-547,CUST-227402,55-64,No,None,In-Store,iOS App,SKU-FOOD-6098,DP-10,Gallon Whole Milk,Dairy,Milk & Cream,Whole Milk,DairyPure,N/A,N/A,N/A,Fresh/Packaged,Year-Round,Pantry Essentials,5,4.50,4.05,10.00,SAVE10,20.25,2.25,20.25,10.50,9.75,48.15,4.00,0.81,0.00,21.06,AmEx,No,0.00,Aisle 1,195,
TXN-GRC-100046,2024-03-14,02:39:00,102,Fresh Market,Buffalo,NY,North-East,REG-01,EMP-529,CUST-203423,18-24,Yes,Platinum,Curbside,Android App,SKU-FOOD-6131,FZ-01,12-Pack Cola,Beverages,Soda,Cola,FizzCo,N/A,N/A,N/A,Fresh/Packaged,Year-Round,Pantry Essentials,5,7.99,6.39,20.00,SAVE10,31.95,8.00,31.95,20.00,11.95,37.40,4.00,1.28,5.99,39.22,Visa,No,0.00,Aisle 18,63,
TXN-GRC-100047,2024-11-29,21:48:00,102,Fresh Market,Buffalo,NY,North-East,REG-07,EMP-532,CUST-257304,55-64,No,None,Online,Website,SKU-FOOD-8275,LF-02,Honeycrisp Apples (lb),Produce,Fruit,Apples,Local Farms,N/A,N/A,N/A,Fresh/Packaged,Year-Round,Pantry Essentials,1,2.49,2.24,10.00,SAVE10,2.24,0.25,2.24,0.90,1.34,59.82,4.00,0.09,0.00,2.33,EBT,No,0.00,Aisle 19,154,
TXN-GRC-100048,2024-05-20,04:45:00,103,Fresh Market,Syracuse,NY,North-East,REG-08,EMP-524,CUST-218821,25-34,Yes,Bronze,BOPIS,Website,SKU-FOOD-5897,AO-22,Fresh Sourdough Loaf,Bakery,Bread,Sourdough,Artisan Oven,N/A,N/A,N/A,Fresh/Packaged,Year-Round,Pantry Essentials,2,5.49,5.49,0.00,N/A,10.98,0.00,10.98,3.60,7.38,67.21,4.00,0.44,0.00,11.42,Mastercard,No,0.00,Aisle 16,190,
TXN-GRC-100049,2024-06-05,10:44:00,102,Fresh Market,Buffalo,NY,North-East,REG-08,EMP-550,CUST-241209,35-44,No,None,Curbside,POS,SKU-FOOD-7223,BC-05,Ribeye Steak 12oz,Meat,Beef,Steaks,Butcher's Choice,N/A,N/A,N/A,Fresh/Packaged,Year-Round,Pantry Essentials,2,15.99,12.79,20.00,SAVE10,25.58,6.40,25.58,17.00,8.58,33.54,4.00,1.02,5.99,32.59,Cash,No,0.00,Aisle 11,169,
TXN-GRC-100050,2024-05-12,09:31:00,103,Fresh Market,Syracuse,NY,North-East,REG-02,EMP-549,CUST-296348,25-34,No,None,BOPIS,POS,SKU-FOOD-8826,CS-09,Vanilla Bean Pint,Frozen,Ice Cream,Pints,ColdScoop,N/A,N/A,N/A,Fresh/Packaged,Year-Round,Pantry Essentials,4,6.25,6.25,0.00,N/A,25.00,0.00,25.00,12.00,13.00,52.00,4.00,1.00,0.00,26.00,AmEx,No,0.00,Aisle 8,33,
TXN-GRC-100051,2025-04-14,13:55:00,102,Fresh Market,Buffalo,NY,North-East,REG-06,EMP-547,CUST-221325,18-24,No,None,In-Store,Website,SKU-FOOD-5889,LF-02,Honeycrisp Apples (lb),Produce,Fruit,Apples,Local Farms,N/A,N/A,N/A,Fresh/Packaged,Year-Round,Pantry Essentials,4,2.49,2.49,0.00,N/A,9.96,0.00,9.96,3.60,6.36,63.86,4.00,0.40,0.00,10.36,Cash,No,0.00,Aisle 14,114,
TXN-GRC-100052,2024-10-14,10:51:00,103,Fresh Market,Syracuse,NY,North-East,REG-07,EMP-529,CUST-264061,25-34,Yes,Platinum,Curbside,Android App,SKU-FOOD-8021,CS-09,Vanilla Bean Pint,Frozen,Ice Cream,Pints,ColdScoop,N/A,N/A,N/A,Fresh/Packaged,Year-Round,Pantry Essentials,3,6.25,6.25,0.00,N/A,18.75,0.00,18.75,9.00,9.75,52.00,4.00,0.75,0.00,19.50,Visa,No,0.00,Aisle 12,97,
TXN-GRC-100053,2024-09-02,19:50:00,101,Fresh Market,Rochester,NY,North-East,REG-03,EMP-541,CUST-289335,65+,Yes,Silver,Curbside,Android App,SKU-FOOD-6743,BI-14,Penne Rigate 16oz,Pantry,Pasta,Dry Pasta,BellaItalia,N/A,N/A,N/A,Fresh/Packaged,Year-Round,Pantry Essentials,2,1.89,1.89,0.00,N/A,3.78,0.00,3.78,1.20,2.58,68.25,4.00,0.15,0.00,3.93,EBT,No,0.00,Aisle 7,131,
