Date,Transaction_ID,Client_Name,Region,Product_Category,Service_Line,Unit_Price,Quantity,Gross_Revenue,Discount_Rate,Net_Revenue,COGS_Percent,COGS_Amount,Marketing_Spend,Fixed_Costs,Operating_Expenses,EBITDA,EBITDA_Margin,Tax_Rate,Net_Profit
2023-01-13,TXN-1040,Omega Energy,LATAM,Hardware,Implementation,351.38,43,15109.52,8.39%,13841.12,48.53%,6717.73,1334.55,657.56,1992.11,5131.28,37.07%,21%,4053.71
2026-11-01,TXN-1041,Nexus Health,EMEA,Software,Implementation,429.44,75,32207.92,2.53%,31392.27,44.55%,13985.51,3833.67,682.17,4515.84,12890.92,41.06%,21%,10183.83
2025-05-03,TXN-1042,Omega Energy,EMEA,Hardware,SaaS Subscription,313.48,53,16614.64,14.84%,14149.76,37.30%,5278.13,1419.01,575.14,1994.15,6877.48,48.60%,21%,5433.21
2021-03-01,TXN-1043,TechNova,North America,Software,Cloud Hosting,503.36,89,44798.87,0.79%,44443.59,40.19%,17861.86,5107.28,605.51,5712.78,20868.94,46.96%,21%,16486.46
2022-03-15,TXN-1044,Omega Energy,LATAM,Hardware,Implementation,82.02,74,6069.38,4.18%,5815.45,30.67%,1783.43,342.54,629.22,971.75,3060.27,52.62%,21%,2417.61
2020-04-07,TXN-1045,GlobalCorp,APAC,Software,Cloud Hosting,516.51,38,19627.50,4.85%,18675.40,49.45%,9235.28,1443.36,581.53,2024.90,7415.22,39.71%,21%,5858.03
2020-03-07,TXN-1046,Nexus Health,APAC,Software,Implementation,363.50,64,23263.83,4.59%,22196.14,33.38%,7408.91,2860.75,552.20,3412.95,11374.28,51.24%,21%,8985.68
2022-09-07,TXN-1047,Omega Energy,APAC,Consulting,SaaS Subscription,186.19,24,4468.49,7.09%,4151.89,39.81%,1652.86,515.09,568.83,1083.92,1415.11,34.08%,21%,1117.93
2022-11-24,TXN-1048,GlobalCorp,North America,Consulting,Cloud Hosting,301.56,36,10856.27,13.13%,9430.76,35.57%,3354.26,697.89,664.51,1362.40,4714.10,49.99%,21%,3724.14
2025-08-12,TXN-1049,Omega Energy,North America,Hardware,Cloud Hosting,326.84,93,30396.26,4.26%,29101.14,41.08%,11955.30,4249.90,587.39,4837.29,12308.56,42.30%,21%,9723.76
2025-04-06,TXN-1050,Starlight Media,APAC,Support,Maintenance,212.74,29,6169.36,1.80%,6058.37,43.97%,2664.01,858.44,500.84,1359.27,2035.09,33.59%,21%,1607.72
2023-10-20,TXN-1051,Peak Finance,EMEA,Consulting,Cloud Hosting,277.24,66,18297.58,2.15%,17904.56,37.50%,6714.80,2520.87,533.06,3053.93,8135.83,45.44%,21%,6427.31
2021-04-27,TXN-1052,BlueSky Retail,EMEA,Consulting,Cloud Hosting,290.07,47,13633.10,3.59%,13144.25,38.47%,5056.92,852.88,592.78,1445.66,6641.67,50.53%,21%,5246.92
2020-04-25,TXN-1053,Nexus Health,EMEA,Support,SaaS Subscription,167.32,35,5856.27,8.08%,5383.07,37.04%,1993.70,586.86,594.56,1181.42,2207.95,41.02%,21%,1744.28
2020-05-24,TXN-1054,Alpha Logistics,LATAM,Consulting,SaaS Subscription,421.81,73,30792.17,9.11%,27985.95,31.43%,8795.34,3005.76,602.48,3608.25,15582.36,55.68%,21%,12310.07
2023-09-06,TXN-1055,GlobalCorp,North America,Support,Cloud Hosting,425.90,74,31516.84,4.59%,30069.82,37.57%,11296.29,3999.09,518.41,4517.50,14256.02,47.41%,21%,11262.26
2025-12-20,TXN-1056,TechNova,North America,Software,Strategy Audit,402.71,50,20135.45,5.46%,19035.34,34.73%,6611.28,2626.56,542.37,3168.94,9255.12,48.62%,21%,7311.54
2026-08-17,TXN-1057,Nexus Health,North America,Consulting,Maintenance,455.66,65,29618.01,8.63%,27063.26,41.67%,11277.77,3140.92,668.22,3809.14,11976.36,44.25%,21%,9461.32
2025-06-05,TXN-1058,TechNova,North America,Hardware,Maintenance,86.23,2,172.46,10.79%,153.84,42.89%,65.98,14.22,532.07,546.29,-458.43,-297.98%,21%,-362.16
2023-04-26,TXN-1059,GlobalCorp,LATAM,Consulting,Cloud Hosting,141.54,30,4246.15,8.05%,3904.47,42.75%,1669.28,286.50,504.12,790.62,1444.56,37.00%,21%,1141.20
2021-07-12,TXN-1060,Omega Energy,EMEA,Support,Cloud Hosting,368.08,9,3312.72,7.19%,3074.52,41.12%,1264.11,440.84,620.50,1061.34,749.07,24.36%,21%,591.77
2021-05-12,TXN-1061,Omega Energy,APAC,Support,SaaS Subscription,455.43,28,12752.11,6.46%,11927.81,31.28%,3730.54,1019.56,565.24,1584.80,6612.47,55.44%,21%,5223.85
2020-11-14,TXN-1062,TechNova,LATAM,Software,Implementation,444.59,8,3556.72,12.02%,3129.30,39.31%,1230.21,201.15,631.21,832.36,1066.73,34.09%,21%,842.72
2026-04-16,TXN-1063,TechNova,EMEA,Software,Implementation,56.37,47,2649.45,14.90%,2254.67,43.51%,981.09,243.89,519.73,763.63,509.95,22.62%,21%,402.86
2022-06-16,TXN-1064,Peak Finance,APAC,Hardware,Implementation,344.08,6,2064.45,7.68%,1905.98,31.13%,593.31,188.55,627.08,815.63,497.04,26.08%,21%,392.66
2024-07-25,TXN-1065,GlobalCorp,North America,Consulting,Strategy Audit,515.56,47,24231.45,7.20%,22486.28,31.57%,7099.90,2188.92,556.75,2745.67,12640.71,56.22%,21%,9986.16
2020-01-03,TXN-1066,Omega Energy,North America,Support,Strategy Audit,117.27,11,1290.02,7.31%,1195.72,36.92%,441.46,99.44,600.48,699.92,54.33,4.54%,21%,42.92
2026-10-18,TXN-1067,GlobalCorp,EMEA,Support,Maintenance,416.76,16,6668.22,9.69%,6022.10,41.22%,2482.04,638.83,559.52,1198.35,2341.70,38.89%,21%,1849.94
2023-01-27,TXN-1068,BlueSky Retail,EMEA,Consulting,Strategy Audit,480.82,60,28849.19,10.71%,25759.49,31.57%,8132.29,2921.09,560.37,3481.45,14145.74,54.91%,21%,11175.14
2022-02-02,TXN-1069,Alpha Logistics,APAC,Support,Cloud Hosting,364.62,85,30992.92,8.08%,28488.95,30.91%,8804.66,3044.77,614.90,3659.67,16024.62,56.25%,21%,12659.45
2026-11-27,TXN-1070,Peak Finance,North America,Software,SaaS Subscription,274.99,78,21449.15,4.10%,20570.44,34.54%,7104.45,1165.21,628.92,1794.13,11671.87,56.74%,21%,9220.78
2026-08-16,TXN-1071,Peak Finance,APAC,Hardware,Strategy Audit,123.44,94,11603.12,3.33%,11216.26,37.88%,4248.88,878.39,621.09,1499.48,5467.90,48.75%,21%,4319.64
2022-08-09,TXN-1072,Nexus Health,North America,Hardware,Maintenance,313.30,20,6265.96,12.27%,5497.25,34.62%,1903.10,439.70,691.76,1131.46,2462.69,44.80%,21%,1945.53
2022-11-20,TXN-1073,Nexus Health,EMEA,Software,Implementation,172.04,45,7741.96,2.53%,7545.85,43.21%,3260.74,970.67,566.99,1537.66,2747.44,36.41%,21%,2170.48
2023-03-24,TXN-1074,Peak Finance,APAC,Consulting,Maintenance,172.96,71,12279.87,8.97%,11177.94,34.70%,3878.43,1218.58,558.63,1777.21,5522.30,49.40%,21%,4362.61
2023-03-24,TXN-1075,TechNova,LATAM,Support,Maintenance,486.47,1,486.47,6.13%,456.66,38.92%,177.73,60.75,520.66,581.41,-302.48,-66.24%,21%,-238.96
2021-08-28,TXN-1076,Omega Energy,APAC,Hardware,Strategy Audit,66.80,59,3941.36,8.11%,3621.72,31.48%,1140.27,399.77,595.44,995.21,1486.24,41.04%,21%,1174.13
2021-08-18,TXN-1077,Omega Energy,APAC,Hardware,SaaS Subscription,434.72,77,33473.69,13.22%,29048.87,43.10%,12520.90,3763.77,608.42,4372.19,12155.79,41.85%,21%,9603.08
2021-03-07,TXN-1078,Alpha Logistics,LATAM,Consulting,Cloud Hosting,59.41,97,5762.62,6.02%,5415.63,33.12%,1793.68,799.25,617.03,1416.27,2205.68,40.73%,21%,1742.49
2022-05-11,TXN-1079,Starlight Media,EMEA,Software,Maintenance,282.91,48,13579.49,4.62%,12952.11,47.45%,6145.21,1509.17,573.04,2082.21,4724.69,36.48%,21%,3732.51
2021-12-08,TXN-1080,Peak Finance,LATAM,Consulting,Cloud Hosting,463.18,75,34738.64,4.99%,33004.22,37.27%,12299.68,2072.42,595.98,2668.40,18036.14,54.65%,21%,14248.55
2025-09-19,TXN-1081,GlobalCorp,LATAM,Software,Cloud Hosting,281.16,40,11246.39,9.56%,10171.20,31.31%,3184.55,1143.85,623.86,1767.70,5218.94,51.31%,21%,4122.96
2021-05-09,TXN-1082,Omega Energy,LATAM,Software,Strategy Audit,529.85,73,38679.17,10.40%,34656.13,32.87%,11391.73,4060.10,612.68,4672.79,18591.61,53.65%,21%,14687.37
2021-05-03,TXN-1083,BlueSky Retail,EMEA,Software,Strategy Audit,407.79,15,6116.78,7.91%,5632.85,35.56%,2002.89,344.46,685.53,1029.99,2599.98,46.16%,21%,2053.98
2021-06-16,TXN-1084,BlueSky Retail,APAC,Support,SaaS Subscription,422.28,76,32093.22,14.28%,27511.03,42.09%,11579.32,1414.18,553.92,1968.10,13963.62,50.76%,21%,11031.26
2021-12-03,TXN-1085,Omega Energy,EMEA,Software,Strategy Audit,210.22,93,19550.29,12.93%,17022.74,47.89%,8151.82,1358.54,571.24,1929.78,6941.14,40.78%,21%,5483.50
2026-02-16,TXN-1086,TechNova,LATAM,Consulting,Strategy Audit,296.49,92,27276.77,0.75%,27072.88,46.16%,12495.82,1892.23,606.60,2498.84,12078.22,44.61%,21%,9541.80
2022-01-17,TXN-1087,Peak Finance,APAC,Hardware,Maintenance,385.03,83,31957.64,13.13%,27762.86,37.64%,10449.09,3549.66,601.90,4151.56,13162.21,47.41%,21%,10398.15
2020-05-11,TXN-1088,Omega Energy,EMEA,Hardware,Strategy Audit,345.92,25,8647.92,4.88%,8226.07,44.21%,3636.58,1167.74,579.70,1747.44,2842.04,34.55%,21%,2245.21
2020-08-18,TXN-1089,TechNova,LATAM,Support,Maintenance,432.31,64,27668.10,11.29%,24545.63,45.05%,11056.96,2711.48,698.12,3409.61,10079.06,41.06%,21%,7962.46
2022-06-09,TXN-1090,TechNova,APAC,Hardware,Implementation,364.01,49,17836.70,4.76%,16988.09,48.95%,8314.91,1342.04,652.25,1994.29,6678.89,39.32%,21%,5276.32
2021-12-23,TXN-1091,Nexus Health,LATAM,Hardware,Maintenance,397.27,71,28206.22,7.65%,26049.22,36.01%,9379.27,1544.78,664.48,2209.26,14460.69,55.51%,21%,11423.94
2026-11-21,TXN-1092,BlueSky Retail,LATAM,Support,Strategy Audit,350.68,20,7013.58,7.58%,6481.71,44.27%,2869.40,593.39,580.93,1174.31,2438.00,37.61%,21%,1926.02
2020-08-18,TXN-1093,BlueSky Retail,North America,Consulting,Cloud Hosting,488.94,1,488.94,14.61%,417.50,36.55%,152.59,51.94,551.55,603.48,-338.57,-81.09%,21%,-267.47
2026-01-08,TXN-1094,Omega Energy,North America,Support,Cloud Hosting,326.75,64,20912.19,4.98%,19870.99,48.95%,9727.41,2710.91,620.22,3331.13,6812.46,34.28%,21%,5381.84
2021-02-05,TXN-1095,GlobalCorp,APAC,Support,Strategy Audit,448.91,91,40850.55,14.19%,35055.37,46.34%,16243.77,2411.88,603.69,3015.58,15796.02,45.06%,21%,12478.86
2023-02-05,TXN-1096,Alpha Logistics,APAC,Hardware,Implementation,154.61,42,6493.45,7.36%,6015.24,49.39%,2970.90,733.23,587.82,1321.05,1723.30,28.65%,21%,1361.40
2020-09-22,TXN-1097,BlueSky Retail,North America,Software,Cloud Hosting,368.46,38,14001.50,8.93%,12750.75,39.15%,4991.34,1508.63,696.33,2204.96,5554.46,43.56%,21%,4388.02
2021-07-16,TXN-1098,Alpha Logistics,APAC,Software,SaaS Subscription,380.08,94,35727.24,14.25%,30637.49,43.68%,13381.75,4177.72,520.00,4697.72,12558.02,40.99%,21%,9920.83
2022-09-23,TXN-1099,GlobalCorp,North America,Consulting,Maintenance,86.51,79,6834.27,10.90%,6089.16,35.18%,2142.07,903.97,646.26,1550.23,2396.86,39.36%,21%,1893.52
